C1:1
C2:1
C3:1
C7:1
C8:1
C9:1
D1:1
D14:1
D15:1
D16:1
D17:1
D18:1
D19:1
D2:1
D20:1
D21:1
D26:1
D27:1
D28:1
D29:1
D3:1
D4:1
D5:1
D6:1
D7:1
G***:1
H1:1
H2:1
H3:1
H4:1
OSC1:1
OSC3:1
P1:1
P2:1
P3:1
P4:1
P5:1
P6:1
P7:1
Q1:1
Q2:1
Q5:1
Q6:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R2:1
R20:1
R21:1
R22:1
R3:1
R4:1
U1:1
U3:1
